Frontier-arbiter rule simulation — 1489 stored turns from 4 duels (dropped {'lt3_frontier': 70, 'no_greedy': 18, 'no_echo': 23}); frontier = engy glm-5.2 (3 samples @T0.8 + greedy); teacher echoes only, tau=0.03
new-attack echo subset: 203 turns, 8130 Engy teacher echoes (qwen3.8-27b, canonical rendering), $2.07 (7426 echoes / $1.89 recorded by completed runs; the rest priced at that rate) (honest king re-echoed on the same turns so attack comparisons are same-source)

DEFINITIONS
  gate <method>/<F>: F disagrees when its action differs from ALL k teacher refs — exact (norm_action), jacθ (best token-Jaccard < θ),
    surθ (lpC(y_F|∅) < min_i lpC(y_C^i|∅) − θ per byte); F = G (one greedy sample) or S (3 samples @T0.8, strict majority must disagree).
  agree branch = live min(R,G), band_c 4.0 (live_c2 = the stored era's 2.0); disagree branch = the alt:
    act:<sim>:<s> = [mean_j sim(y_A,y_F^j) − mean_ij sim(y_C^i,y_F^j)] × s × sd(live turn scores of the dialect); sim jaccard or exact (0/1)
    RF = centered tempered LME_j[lpC(y_F^j|z_A) − lpC(y_F^j|∅)]; V = mean_j f_j − mean_i a_i; AF = LME_j[lpC(y_A|z_F^j) − lpC(y_A|∅)]
    minRFG = min(RF, G); minVG = min(V, G). Echo-space alts always use the 3 sampled F refs; act uses the gate's F set.
  |sd = every leg standardised per dialect by (mu, sd) of the TEACHER's own leave-one-out values (R, RF, V, act; AF anchored on king+challenger,
    no teacher_own echo exists); thought leg = 2 − |m − mean(t_i)|/sigma_t with sigma_t = pooled within-turn sd of t_i per dialect.
    No cross echoes lpC(y_C^i|z_C^j), i≠j, exist in this data, so the anchor is the teacher's ref-0 thought on refs 1..2 (one LOO value per turn).
  wB_<mode>/<F> = variant B: teacher refs weighted by mean Jaccard to the F set (softmax at T or hard 1[sim≥0.5]); R = weighted centered LME, G from weighted mu/sd.
  HEADROOM (leave-one-out: ref 0 and F sample 0 dropped everywhere, so every family is scored on k−1=2 teacher refs and 2 F refs):
    mean turn score per family; z(F−T) = paired mean(F_own − T_own)/SE; z(T−K) likewise; dis% = disagree-branch rate on the LOO gate.
  NOISE (full refs, live pairing): margin = mean(chal − king); SE = sd/√n; z = margin/SE; bSE/live = bootstrap SE ÷ that of the same-units
    live rule (live_c4 raw, live_sd sd); |z|/|z0| = |z| ÷ |z of live_c4| (how much of the live separation of these losing challengers survives);
    rho = Spearman of per-turn (chal − king) vs live_c4; dis% = gate rate; varD = share of Σ(d−d̄)² carried by disagree turns.
    minAG = min(act:jaccard:1, G), minAFG = min(AF, G): G (or typ) still bounds the disagree branch.
  ATTACKS (king's thought or action replaced): ≤king% = turns where attack ≤ honest king (ties count); harmless if ≥ 85%. '=' = exact-tie share.
    filler/generic/parrot(sampled y_F^0 pasted): stored swarm echoes, all turns. fparrotG (greedy y_F pasted into the thought), copyF (action := greedy y_F),
    lscmd/catcmd (action := `ls -la` / `cat <first file in prefix>`, bash only): Engy echoes on the subset; copyF/ls/cat on ALL turns for action-space alts.

== GATE RATES (fraction of turns where F disagrees with all teacher refs) ==
set            n    exact/G    exact/S   jac0.5/G   jac0.5/S   jac0.3/S  sur0.02/G  sur0.02/S   jac0.3/G   | yG=any yF  yG~yF  F self  C self  C~F  F all same
ALL         1489      73.6%      73.9%      34.6%      34.7%      21.2%      22.8%      23.2%      21.4%   |      54%   0.71    0.69    0.61  0.51      28%
bash         992      80.5%      81.4%      45.2%      45.9%      30.3%      21.0%      19.8%      30.3%   |      54%   0.66    0.63    0.53  0.41      24%
boxed        156       7.1%       5.1%       0.0%       0.0%       0.0%       6.4%       5.8%       0.0%   |      98%   0.98    0.98    0.99  0.98      87%
tool_call    341      83.9%      83.6%      19.6%      18.2%       4.4%      35.5%      41.1%       5.3%   |      36%   0.74    0.70    0.68  0.62      11%
  (yG=any yF: greedy action exactly equals one of the 3 samples; ~: mean token-Jaccard; self = sample 0 vs samples 1..2)

== TEST 1 HEADROOM (leave-one-out; the arbiter's point is F_own > T_own) ==
-- ALL --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
sur0.02/S|act:exact:1         -0.0034  +0.0027  +0.0017  +0.0006   -6.09   40%   +1.30   -5.23   16%
sur0.02/S|minAG               -0.0060  +0.0018  +0.0007  -0.0007   -7.56   44%   +1.40   -6.58   16%
sur0.02/S|RF                  -0.0021  +0.0051  +0.0037  +0.0031   -7.10   41%   +1.82   -5.71   16%
sur0.02/S|V                   +0.0034  -0.0097  -0.0065  -0.0080   +4.77   48%   -2.03   +3.92   16%
sur0.02/S|AF                      nan      nan  +0.0022  +0.0007     nan  nan%     nan     nan   16%
sur0.02/S|minRFG              -0.0062  +0.0028  +0.0015  +0.0002   -8.70   40%   +1.64   -7.56   16%
sur0.02/S|minVG               -0.0054  -0.0109  -0.0085  -0.0104   +2.55   47%   -1.79   +1.59   16%
sur0.02/S|minAFG                  nan      nan  -0.0005  -0.0021     nan  nan%     nan     nan   16%
exact/S|act:jaccard:1|sd      +0.8714  +0.0143  +0.0709  +0.1007  +17.43   68%   -1.63  +15.86   79%
exact/S|minAG|sd              +0.1064  -0.1107  -0.0880  -0.0900   +5.90   59%   -0.78   +5.00   79%
exact/S|V|sd                  +0.4918  -0.1289  -0.0192  -0.0121  +14.42   72%   -4.23  +12.00   79%
exact/S|minRFG|sd             -0.3839  -0.2042  -0.2358  -0.2400   -7.64   37%   +1.79   -5.90   79%
exact/S|minVG|sd              +0.0927  -0.2321  -0.1375  -0.1548   +7.53   62%   -3.70   +5.34   79%
jac0.5/G|act:jaccard:1|sd     +0.5531  -0.0253  -0.0164  -0.0014  +11.63   56%   -0.31  +11.40   51%
jac0.5/G|minAG|sd             -0.0365  -0.1130  -0.1185  -0.1098   +2.36   53%   +0.25   +2.44   51%
jac0.5/G|V|sd                 +0.2132  -0.2661  -0.1728  -0.1706  +10.55   64%   -3.49   +8.65   51%
jac0.5/G|minRFG|sd            -0.3606  -0.1809  -0.2160  -0.2225   -7.34   39%   +1.88   -5.54   51%
jac0.5/G|minVG|sd             -0.0387  -0.3117  -0.2481  -0.2553   +6.52   58%   -2.60   +5.01   51%
sur0.02/S|act:jaccard:1|sd    -0.0753  -0.1373  -0.1514  -0.1593   +1.71   48%   +0.63   +2.07   16%
sur0.02/S|minAG|sd            -0.2679  -0.1518  -0.1723  -0.1883   -4.03   45%   +0.99   -3.27   16%
sur0.02/S|V|sd                -0.1558  -0.2099  -0.1794  -0.2002   +1.48   49%   -1.31   +0.66   16%
sur0.02/S|minRFG|sd           -0.3673  -0.1666  -0.1905  -0.2017   -7.81   40%   +1.25   -6.61   16%
sur0.02/S|minVG|sd            -0.2710  -0.2213  -0.2025  -0.2298   -1.49   46%   -0.84   -2.09   16%
wB_soft0.1/G                  -0.0092  -0.0012  -0.0026  -0.0036   -8.09   41%   +1.80   -6.94    0%  collapse 25%
wB_soft0.3/G                  -0.0079  +0.0013  -0.0000  -0.0015   -8.61   41%   +1.70   -7.61    0%  collapse 6%
wB_hard0.5/G                  -0.0157  -0.0071  -0.0081  -0.0094   -7.89   41%   +1.26   -6.64    0%  collapse 20%
wB_soft0.1/S                  -0.0092  -0.0007  -0.0021  -0.0034   -8.49   41%   +1.86   -7.18    0%  collapse 22%
wB_soft0.3/S                  -0.0078  +0.0016  +0.0001  -0.0014   -8.77   41%   +1.93   -7.56    0%  collapse 5%
wB_hard0.5/S                  -0.0147  -0.0062  -0.0072  -0.0089   -7.76   40%   +1.23   -6.60    0%  collapse 19%

-- boxed --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
live_c2                       -0.0216  -0.0053  -0.0099  -0.0123   -6.17   31%   +3.65   -4.23    0%
live_c4                       -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
live_sd                       -1.1068  -0.1543  -0.3346  -0.4630   -6.38   24%   +2.94   -4.92    0%
exact/G|act:jaccard:0.5       -0.0150  -0.0022  -0.0058  -0.0059   -5.54   27%   +3.68   -3.76    8%
exact/G|act:jaccard:1         -0.0149  -0.0022  -0.0058  -0.0059   -5.52   27%   +3.67   -3.74    8%
exact/G|act:jaccard:2         -0.0148  -0.0021  -0.0057  -0.0058   -5.48   27%   +3.64   -3.72    8%
exact/G|act:exact:1           -0.0146  -0.0021  -0.0057  -0.0056   -5.40   28%   +3.62   -3.65    8%
exact/G|minAG                 -0.0160  -0.0024  -0.0059  -0.0065   -5.86   28%   +3.52   -4.12    8%
exact/G|RF                    -0.0130  -0.0004  -0.0040  -0.0021   -4.85   28%   +3.13   -3.44    8%
exact/G|V                     -0.0063  -0.0094  -0.0028  -0.0003   +0.32   32%   -0.78   -0.96    8%
exact/G|AF                        nan      nan  +0.0348  +0.0402     nan  nan%     nan     nan    8%
exact/G|minRFG                -0.0160  -0.0017  -0.0055  -0.0058   -6.05   27%   +3.76   -4.25    8%
exact/G|minVG                 -0.0160  -0.0095  -0.0089  -0.0103   -1.56   31%   -0.18   -2.51    8%
exact/G|minAFG                    nan      nan  -0.0046  -0.0054     nan  nan%     nan     nan    8%
exact/S|act:jaccard:0.5       -0.0159  -0.0023  -0.0060  -0.0064   -5.84   28%   +3.63   -4.06    3%
exact/S|act:jaccard:1         -0.0159  -0.0023  -0.0059  -0.0064   -5.84   28%   +3.62   -4.06    3%
exact/S|act:jaccard:2         -0.0159  -0.0023  -0.0059  -0.0064   -5.82   28%   +3.59   -4.06    3%
exact/S|act:exact:1           -0.0158  -0.0024  -0.0059  -0.0063   -5.78   29%   +3.57   -4.04    3%
exact/S|minAG                 -0.0160  -0.0024  -0.0059  -0.0064   -5.86   28%   +3.52   -4.11    3%
exact/S|RF                    -0.0159  -0.0023  -0.0060  -0.0064   -5.85   28%   +3.64   -4.06    3%
exact/S|V                     -0.0089  -0.0069  -0.0021  +0.0002   -0.22   30%   -0.58   -2.08    3%
exact/S|AF                        nan      nan  +0.0068  +0.0074     nan  nan%     nan     nan    3%
exact/S|minRFG                -0.0161  -0.0024  -0.0060  -0.0065   -5.88   28%   +3.54   -4.12    3%
exact/S|minVG                 -0.0158  -0.0069  -0.0075  -0.0075   -2.23   30%   +0.19   -3.10    3%
exact/S|minAFG                    nan      nan  -0.0055  -0.0061     nan  nan%     nan     nan    3%
jac0.5/G|act:jaccard:0.5      -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|act:jaccard:1        -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|act:jaccard:2        -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|act:exact:1          -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|minAG                -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|RF                   -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|V                    -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|AF                       nan      nan  -0.0060  -0.0065     nan  nan%     nan     nan    0%
jac0.5/G|minRFG               -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|minVG                -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/G|minAFG                   nan      nan  -0.0060  -0.0065     nan  nan%     nan     nan    0%
jac0.5/S|act:jaccard:0.5      -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|act:jaccard:1        -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|act:jaccard:2        -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|act:exact:1          -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|minAG                -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|RF                   -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|V                    -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|AF                       nan      nan  -0.0060  -0.0065     nan  nan%     nan     nan    0%
jac0.5/S|minRFG               -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|minVG                -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.5/S|minAFG                   nan      nan  -0.0060  -0.0065     nan  nan%     nan     nan    0%
jac0.3/S|act:jaccard:0.5      -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|act:jaccard:1        -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|act:jaccard:2        -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|act:exact:1          -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|minAG                -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|RF                   -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|V                    -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|AF                       nan      nan  -0.0060  -0.0065     nan  nan%     nan     nan    0%
jac0.3/S|minRFG               -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|minVG                -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%
jac0.3/S|minAFG                   nan      nan  -0.0060  -0.0065     nan  nan%     nan     nan    0%
sur0.02/G|act:jaccard:0.5     -0.0152  -0.0023  -0.0059  -0.0063   -5.57   28%   +3.63   -3.80    7%
sur0.02/G|act:jaccard:1       -0.0151  -0.0023  -0.0059  -0.0063   -5.55   28%   +3.61   -3.79    7%
sur0.02/G|act:jaccard:2       -0.0151  -0.0023  -0.0059  -0.0063   -5.51   28%   +3.57   -3.77    7%
sur0.02/G|act:exact:1         -0.0150  -0.0023  -0.0059  -0.0063   -5.49   28%   +3.57   -3.75    7%
sur0.02/G|minAG               -0.0160  -0.0024  -0.0059  -0.0065   -5.85   28%   +3.51   -4.11    7%
sur0.02/G|RF                  -0.0140  -0.0013  -0.0052  -0.0041   -4.99   27%   +3.83   -3.35    7%
sur0.02/G|V                   -0.0086  -0.0079  -0.0020  -0.0032   -0.08   31%   -0.70   -2.29    7%
sur0.02/G|AF                      nan      nan  +0.0426  +0.0508     nan  nan%     nan     nan    7%
sur0.02/G|minRFG              -0.0160  -0.0017  -0.0056  -0.0058   -6.05   26%   +3.85   -4.22    7%
sur0.02/G|minVG               -0.0159  -0.0079  -0.0076  -0.0101   -1.99   30%   -0.10   -3.17    7%
sur0.02/G|minAFG                  nan      nan  -0.0044  -0.0046     nan  nan%     nan     nan    7%
sur0.02/S|act:jaccard:0.5     -0.0159  -0.0022  -0.0060  -0.0064   -5.93   28%   +3.81   -4.07    3%
sur0.02/S|act:jaccard:1       -0.0159  -0.0022  -0.0059  -0.0064   -5.92   28%   +3.79   -4.07    3%
sur0.02/S|act:jaccard:2       -0.0159  -0.0022  -0.0059  -0.0064   -5.90   28%   +3.75   -4.07    3%
sur0.02/S|act:exact:1         -0.0159  -0.0022  -0.0059  -0.0064   -5.90   28%   +3.75   -4.07    3%
sur0.02/S|minAG               -0.0160  -0.0024  -0.0059  -0.0065   -5.86   29%   +3.51   -4.12    3%
sur0.02/S|RF                  -0.0159  -0.0022  -0.0059  -0.0064   -5.93   28%   +3.83   -4.06    3%
sur0.02/S|V                   -0.0099  -0.0062  -0.0014  -0.0005   -0.42   30%   -0.58   -3.17    3%
sur0.02/S|AF                      nan      nan  +0.0194  +0.0189     nan  nan%     nan     nan    3%
sur0.02/S|minRFG              -0.0160  -0.0024  -0.0059  -0.0065   -5.86   28%   +3.53   -4.11    3%
sur0.02/S|minVG               -0.0156  -0.0066  -0.0068  -0.0072   -2.27   30%   +0.09   -3.36    3%
sur0.02/S|minAFG                  nan      nan  -0.0052  -0.0057     nan  nan%     nan     nan    3%
exact/S|act:jaccard:1|sd      -0.9983  -0.1275  -0.2479  -0.3545   -5.03   23%   +1.14   -4.71    3%
exact/S|minAG|sd              -1.0800  -0.1379  -0.3287  -0.4561   -6.27   23%   +3.06   -4.74    3%
exact/S|V|sd                  -0.9752  -0.2223  -0.2580  -0.3383   -3.47   25%   +0.23   -4.41    3%
exact/S|minRFG|sd             -1.1089  -0.1563  -0.3367  -0.4649   -6.38   22%   +2.94   -4.92    3%
exact/S|minVG|sd              -1.0845  -0.2223  -0.3546  -0.4757   -5.27   25%   +1.72   -4.56    3%
jac0.5/G|act:jaccard:1|sd     -1.1068  -0.1543  -0.3346  -0.4630   -6.38   24%   +2.94   -4.92    0%
jac0.5/G|minAG|sd             -1.1068  -0.1543  -0.3346  -0.4630   -6.38   24%   +2.94   -4.92    0%
jac0.5/G|V|sd                 -1.1068  -0.1543  -0.3346  -0.4630   -6.38   24%   +2.94   -4.92    0%
jac0.5/G|minRFG|sd            -1.1068  -0.1543  -0.3346  -0.4630   -6.38   24%   +2.94   -4.92    0%
jac0.5/G|minVG|sd             -1.1068  -0.1543  -0.3346  -0.4630   -6.38   24%   +2.94   -4.92    0%
sur0.02/S|act:jaccard:1|sd    -1.0188  -0.1273  -0.2466  -0.3751   -5.21   23%   +1.18   -4.92    3%
sur0.02/S|minAG|sd            -1.0900  -0.1493  -0.3284  -0.4560   -6.25   24%   +2.91   -4.83    3%
sur0.02/S|V|sd                -0.9903  -0.1891  -0.2427  -0.3477   -3.76   25%   +0.35   -4.71    3%
sur0.02/S|minRFG|sd           -1.1090  -0.1563  -0.3370  -0.4652   -6.38   23%   +2.95   -4.92    3%
sur0.02/S|minVG|sd            -1.0845  -0.2162  -0.3475  -0.4716   -5.30   25%   +1.71   -4.63    3%
wB_soft0.1/G                  -0.0161  -0.0025  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%  collapse 1%
wB_soft0.3/G                  -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.57   -4.12    0%  collapse 0%
wB_hard0.5/G                  -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%  collapse 0%
wB_soft0.1/S                  -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%  collapse 0%
wB_soft0.3/S                  -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%  collapse 0%
wB_hard0.5/S                  -0.0161  -0.0024  -0.0060  -0.0065   -5.88   29%   +3.54   -4.12    0%  collapse 0%

-- tool_call --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
live_c2                       -0.0698  -0.0086  -0.0213  -0.1709  -18.35   12%   +5.94  -13.66    0%
live_c4                       -0.0445  -0.0038  -0.0117  -0.1541  -13.61   17%   +4.77  -10.71    0%
live_sd                       -1.5298  -0.1630  -0.4058  -4.4748  -17.28   17%   +5.10  -13.72    0%
exact/G|act:jaccard:0.5       +0.0111  -0.0020  +0.0029  -0.0144   +5.90   60%   -2.77   +3.55   86%
exact/G|act:jaccard:1         +0.0257  -0.0035  +0.0064  -0.0119   +7.31   60%   -2.86   +4.62   86%
exact/G|act:jaccard:2         +0.0549  -0.0064  +0.0134  -0.0067   +7.96   60%   -2.88   +5.13   86%
exact/G|act:exact:1           +0.0312  +0.0052  +0.0125  -0.0063   +4.86   15%   -2.04   +3.31   86%
exact/G|minAG                 -0.0409  -0.0125  -0.0147  -0.1595   -7.19   31%   +0.71   -6.59   86%
exact/G|RF                    -0.0020  +0.0017  +0.0014  -0.0148   -3.36   28%   +0.43   -3.03   86%
exact/G|V                     +0.0001  -0.0078  -0.0000  -0.0085   +3.88   57%   -4.56   +0.03   86%
exact/G|AF                        nan      nan  +0.0010  -0.0140     nan  nan%     nan     nan   86%
exact/G|minRFG                -0.0442  -0.0037  -0.0116  -0.1538  -13.53   21%   +4.76  -10.60   86%
exact/G|minVG                 -0.0443  -0.0136  -0.0145  -0.1523   -9.22   31%   +0.43   -9.01   86%
exact/G|minAFG                    nan      nan  -0.0120  -0.1536     nan  nan%     nan     nan   86%
exact/S|act:jaccard:0.5       +0.0064  -0.0014  +0.0009  -0.0152   +3.74   58%   -1.36   +2.68   80%
exact/S|act:jaccard:1         +0.0176  -0.0019  +0.0032  -0.0127   +5.57   58%   -1.60   +4.19   80%
exact/S|act:jaccard:2         +0.0401  -0.0030  +0.0078  -0.0077   +6.51   58%   -1.71   +4.98   80%
exact/S|act:exact:1           +0.0159  +0.0029  +0.0052  -0.0106   +3.58   16%   -1.02   +2.88   80%
exact/S|minAG                 -0.0421  -0.0103  -0.0147  -0.1581   -8.32   29%   +1.51   -7.44   80%
exact/S|RF                    -0.0034  +0.0012  +0.0005  -0.0155   -3.60   26%   +0.91   -3.04   80%
exact/S|V                     -0.0009  -0.0075  +0.0003  -0.0085   +3.10   55%   -4.41   -0.60   80%
exact/S|AF                        nan      nan  +0.0000  -0.0149     nan  nan%     nan     nan   80%
exact/S|minRFG                -0.0442  -0.0038  -0.0117  -0.1538  -13.51   19%   +4.76  -10.59   80%
exact/S|minVG                 -0.0440  -0.0128  -0.0135  -0.1514   -9.43   29%   +0.34   -9.30   80%
exact/S|minAFG                    nan      nan  -0.0121  -0.1537     nan  nan%     nan     nan   80%
jac0.5/G|act:jaccard:0.5      -0.0238  -0.0011  -0.0051  -0.1075   -7.23   28%   +2.40   -6.06   24%
jac0.5/G|act:jaccard:1        -0.0163  +0.0003  -0.0021  -0.1024   -4.14   28%   +1.03   -3.62   24%
jac0.5/G|act:jaccard:2        -0.0012  +0.0030  +0.0039  -0.0922   -0.67   28%   -0.25   -0.84   24%
jac0.5/G|act:exact:1          -0.0272  -0.0024  -0.0073  -0.1118   -7.41   15%   +2.97   -5.83   24%
jac0.5/G|minAG                -0.0424  -0.0039  -0.0109  -0.1504  -12.09   19%   +3.70   -9.42   24%
jac0.5/G|RF                   -0.0308  -0.0014  -0.0077  -0.1120  -11.02   19%   +4.38   -8.63   24%
jac0.5/G|V                    -0.0286  -0.0036  -0.0072  -0.1092   -8.41   28%   +2.06   -7.45   24%
jac0.5/G|AF                       nan      nan  -0.0085  -0.1116     nan  nan%     nan     nan   24%
jac0.5/G|minRFG               -0.0444  -0.0036  -0.0119  -0.1539  -13.68   18%   +5.04  -10.62   24%
jac0.5/G|minVG                -0.0435  -0.0062  -0.0123  -0.1528  -12.00   22%   +3.53   -9.87   24%
jac0.5/G|minAFG                   nan      nan  -0.0124  -0.1537     nan  nan%     nan     nan   24%
jac0.5/S|act:jaccard:0.5      -0.0292  -0.0014  -0.0078  -0.1116   -9.00   26%   +3.67   -6.94   17%
jac0.5/S|act:jaccard:1        -0.0236  -0.0001  -0.0055  -0.1081   -6.47   26%   +2.56   -5.10   17%
jac0.5/S|act:jaccard:2        -0.0123  +0.0027  -0.0009  -0.1010   -2.92   26%   +1.10   -2.35   17%
jac0.5/S|act:exact:1          -0.0319  -0.0028  -0.0102  -0.1147   -9.30   16%   +4.64   -6.86   17%
jac0.5/S|minAG                -0.0423  -0.0034  -0.0106  -0.1518  -12.13   20%   +3.91   -9.59   17%
jac0.5/S|RF                   -0.0345  -0.0024  -0.0099  -0.1146  -11.53   19%   +4.72   -8.62   17%
jac0.5/S|V                    -0.0329  -0.0041  -0.0088  -0.1126   -9.46   27%   +2.53   -8.01   17%
jac0.5/S|AF                       nan      nan  -0.0105  -0.1146     nan  nan%     nan     nan   17%
jac0.5/S|minRFG               -0.0444  -0.0037  -0.0118  -0.1541  -13.61   19%   +4.88  -10.61   17%
jac0.5/S|minVG                -0.0438  -0.0060  -0.0119  -0.1535  -12.28   21%   +3.25  -10.27   17%
jac0.5/S|minAFG                   nan      nan  -0.0122  -0.1539     nan  nan%     nan     nan   17%
jac0.3/S|act:jaccard:0.5      -0.0393  -0.0031  -0.0102  -0.1473  -11.75   20%   +4.12   -9.35    4%
jac0.3/S|act:jaccard:1        -0.0372  -0.0028  -0.0093  -0.1459  -10.25   20%   +3.43   -8.37    4%
jac0.3/S|act:jaccard:2        -0.0328  -0.0021  -0.0077  -0.1432   -7.37   20%   +2.19   -6.32    4%
jac0.3/S|act:exact:1          -0.0407  -0.0035  -0.0110  -0.1487  -12.29   17%   +4.61   -9.58    4%
jac0.3/S|minAG                -0.0441  -0.0038  -0.0112  -0.1529  -13.42   18%   +4.34  -10.65    4%
jac0.3/S|RF                   -0.0415  -0.0034  -0.0109  -0.1486  -12.94   18%   +4.59  -10.12    4%
jac0.3/S|V                    -0.0414  -0.0032  -0.0100  -0.1474  -12.90   19%   +4.01  -10.38    4%
jac0.3/S|AF                       nan      nan  -0.0109  -0.1484     nan  nan%     nan     nan    4%
jac0.3/S|minRFG               -0.0445  -0.0039  -0.0117  -0.1542  -13.59   18%   +4.71  -10.70    4%
jac0.3/S|minVG                -0.0445  -0.0039  -0.0113  -0.1536  -13.51   18%   +4.32  -10.79    4%
jac0.3/S|minAFG                   nan      nan  -0.0116  -0.1539     nan  nan%     nan     nan    4%
sur0.02/G|act:jaccard:0.5     -0.0214  -0.0027  -0.0060  -0.1161   -5.88   36%   +1.88   -5.00   39%
sur0.02/G|act:jaccard:1       -0.0140  -0.0028  -0.0044  -0.1144   -2.78   36%   +0.63   -2.46   39%
sur0.02/G|act:jaccard:2       +0.0008  -0.0030  -0.0012  -0.1111   +0.61   36%   -0.41   +0.33   39%
sur0.02/G|act:exact:1         -0.0181  -0.0027  -0.0076  -0.1152   -3.70   14%   +3.60   -2.56   39%
sur0.02/G|minAG               -0.0426  -0.0068  -0.0121  -0.1555  -10.51   23%   +2.53   -8.74   39%
sur0.02/G|RF                  -0.0280  -0.0015  -0.0064  -0.1166   -9.77   24%   +3.51   -8.06   39%
sur0.02/G|V                   -0.0272  -0.0075  -0.0086  -0.1134   -6.16   35%   +0.62   -6.15   39%
sur0.02/G|AF                      nan      nan  -0.0061  -0.1158     nan  nan%     nan     nan   39%
sur0.02/G|minRFG              -0.0442  -0.0035  -0.0114  -0.1537  -13.54   19%   +4.74  -10.67   39%
sur0.02/G|minVG               -0.0446  -0.0098  -0.0141  -0.1531  -10.50   25%   +2.14   -9.37   39%
sur0.02/G|minAFG                  nan      nan  -0.0110  -0.1535     nan  nan%     nan     nan   39%
sur0.02/S|act:jaccard:0.5     -0.0248  -0.0026  -0.0068  -0.1033   -7.24   33%   +2.35   -6.04   31%
sur0.02/S|act:jaccard:1       -0.0205  -0.0027  -0.0060  -0.1031   -4.79   33%   +1.35   -4.17   31%
sur0.02/S|act:jaccard:2       -0.0117  -0.0030  -0.0045  -0.1026   -1.61   33%   +0.36   -1.50   31%
sur0.02/S|act:exact:1         -0.0263  -0.0029  -0.0076  -0.1028   -7.15   16%   +2.81   -5.69   31%
sur0.02/S|minAG               -0.0442  -0.0057  -0.0125  -0.1564  -11.29   23%   +3.17   -9.60   31%
sur0.02/S|RF                  -0.0285  -0.0013  -0.0067  -0.1025   -9.89   21%   +3.55   -7.89   31%
sur0.02/S|V                   -0.0275  -0.0076  -0.0088  -0.1003   -6.16   34%   +0.64   -6.17   31%
sur0.02/S|AF                      nan      nan  -0.0066  -0.1026     nan  nan%     nan     nan   31%
